Timestamp: 2024-03-27T10:07:49.745Z, Latency: -226  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:49.814Z, Latency: -257  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:49.916Z, Latency: -255  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:50.013Z, Latency: -258  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:50.117Z, Latency: -255  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:50.218Z, Latency: -253  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:50.321Z, Latency: -250  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:50.423Z, Latency: -249  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:50.519Z, Latency: -252  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:50.619Z, Latency: -252  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:50.724Z, Latency: -247  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:50.821Z, Latency: -250  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:50.916Z, Latency: -254  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:51.025Z, Latency: -245  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:51.117Z, Latency: -254  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:51.220Z, Latency: -251  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:51.328Z, Latency: -243  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:51.424Z, Latency: -246  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:51.524Z, Latency: -246  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:51.623Z, Latency: -248  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:51.720Z, Latency: -251  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:51.818Z, Latency: -253  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:51.913Z, Latency: -258  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:52.022Z, Latency: -249  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:52.115Z, Latency: -256  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:52.214Z, Latency: -258  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:52.311Z, Latency: -261  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:52.430Z, Latency: -241  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:52.523Z, Latency: -249  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:52.623Z, Latency: -248  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:52.716Z, Latency: -255  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:52.818Z, Latency: -254  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:52.919Z, Latency: -253  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:53.020Z, Latency: -252  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:53.114Z, Latency: -258  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:53.216Z, Latency: -255  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:53.315Z, Latency: -256  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:53.419Z, Latency: -253  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:07:53.539Z, Latency: -232  Highest Bid: 69958.02, Lowest Ask: 69958.03
Timestamp: 2024-03-27T10:07:53.625Z, Latency: -246  Highest Bid: 69954, Lowest Ask: 69954.01
Timestamp: 2024-03-27T10:07:53.729Z, Latency: -243  Highest Bid: 69953.76, Lowest Ask: 69953.77
Timestamp: 2024-03-27T10:07:53.834Z, Latency: -238  Highest Bid: 69953.76, Lowest Ask: 69953.77
Timestamp: 2024-03-27T10:07:53.920Z, Latency: -252  Highest Bid: 69953.76, Lowest Ask: 69953.77
Timestamp: 2024-03-27T10:07:54.021Z, Latency: -250  Highest Bid: 69953.76, Lowest Ask: 69953.77
Timestamp: 2024-03-27T10:07:54.119Z, Latency: -253  Highest Bid: 69953.76, Lowest Ask: 69953.77
Timestamp: 2024-03-27T10:07:54.221Z, Latency: -250  Highest Bid: 69953.76, Lowest Ask: 69953.77
Timestamp: 2024-03-27T10:07:54.321Z, Latency: -250  Highest Bid: 69953.28, Lowest Ask: 69953.29
Timestamp: 2024-03-27T10:07:54.424Z, Latency: -248  Highest Bid: 69953.28, Lowest Ask: 69953.29
Timestamp: 2024-03-27T10:07:54.527Z, Latency: -246  Highest Bid: 69953.28, Lowest Ask: 69953.29
Timestamp: 2024-03-27T10:07:54.624Z, Latency: -247  Highest Bid: 69953.28, Lowest Ask: 69953.29
Timestamp: 2024-03-27T10:07:54.740Z, Latency: -232  Highest Bid: 69953.01, Lowest Ask: 69953.02
