Timestamp: 2024-03-21T06:32:02.872Z, Maker Highest Bid: 9017.5, Taker Lowest Ask: 67049.9, Profitability: 6.435530912115331, Maker Latency: 1164ms, Taker Latency: NaNms
Timestamp: 2024-03-21T06:32:40.785Z, Maker Highest Bid: 9011, Taker Lowest Ask: 67014.72, Profitability: 6.436990345133726, Maker Latency: 621ms, Taker Latency: -236ms
Timestamp: 2024-03-21T06:32:59.400Z, Maker Highest Bid: 9010, Taker Lowest Ask: 67032, Profitability: 6.439733629300777, Maker Latency: 103ms, Taker Latency: -257ms
Timestamp: 2024-03-21T06:34:14.659Z, Maker Highest Bid: 9049, Taker Lowest Ask: 67150.01, Profitability: 6.420710575754226, Maker Latency: 359ms, Taker Latency: NaNms
Timestamp: 2024-03-21T07:21:39.446Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67266.08, Profitability: 6.410198843293859, Maker Latency: 394ms, Taker Latency: 172ms
Timestamp: 2024-03-21T07:21:39.643Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67268.11, Profitability: 6.410422473147893, Maker Latency: 394ms, Taker Latency: 111ms
Timestamp: 2024-03-21T07:21:39.874Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67268.11, Profitability: 6.410422473147893, Maker Latency: 199ms, Taker Latency: 111ms
Timestamp: 2024-03-21T07:21:39.977Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67270.28, Profitability: 6.4106615257504815, Maker Latency: 199ms, Taker Latency: 105ms
Timestamp: 2024-03-21T07:21:40.316Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67270.28, Profitability: 6.4106615257504815, Maker Latency: 199ms, Taker Latency: 255ms
Timestamp: 2024-03-21T07:21:40.868Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67270.28, Profitability: 6.4106615257504815, Maker Latency: 239ms, Taker Latency: 255ms
Timestamp: 2024-03-21T07:21:41.197Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67270.28, Profitability: 6.4106615257504815, Maker Latency: 143ms, Taker Latency: 255ms
